2017 Data:
NetIncomeLoss: 2371000000
NetIncomeLoss: 749000000
NetIncomeLoss: 724000000
NetIncomeLoss: 197000000
NetIncomeLoss: 256000000
NetIncomeLoss: 3033000000
NetIncomeLoss: 1856000000
NonoperatingIncomeExpense: -665000000
NonoperatingIncomeExpense: -294000000
NonoperatingIncomeExpense: -300000000
OperatingIncomeLoss: 2233000000
OperatingIncomeLoss: 1071000000
OperatingIncomeLoss: 1285000000
OperatingIncomeLoss: 575000000
OperatingIncomeLoss: 4186000000
OperatingIncomeLoss: 1255000000
OperatingIncomeLoss: 1005000000
OperatingIncomeLoss: 628000000
OperatingIncomeLoss: 347000000
OperatingIncomeLoss: 4106000000
OperatingIncomeLoss: 2127000000
OperatingLeasesFutureMinimumPaymentsDue: 22848000000
OperatingLeasesFutureMinimumPaymentsDueCurrent: 2427000000
OperatingLeasesFutureMinimumPaymentsDueInFiveYears: 1813000000
OperatingLeasesFutureMinimumPaymentsDueInFourYears: 2039000000
OperatingLeasesFutureMinimumPaymentsDueInThreeYears: 2258000000
OperatingLeasesFutureMinimumPaymentsDueInTwoYears: 2376000000
OperatingLeasesFutureMinimumPaymentsDueThereafter: 11935000000
OtherAssetsNoncurrent: 4723000000
OtherAssetsNoncurrent: 8897000000
OtherCommitment: 9086000000
OtherCommitmentDueAfterFifthYear: 4744000000
OtherCommitmentDueInFifthYear: 438000000
OtherCommitmentDueInFourthYear: 571000000
OtherCommitmentDueInNextTwelveMonths: 1584000000
OtherCommitmentDueInSecondYear: 1016000000
OtherCommitmentDueInThirdYear: 733000000
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax: -2000000
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax: 17000000
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax: -32000000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax: -210000000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax: -279000000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax: 533000000
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax: 10000000
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax: -49000000
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax: 5000000
OtherComprehensiveIncomeLossNetOfTax: -212000000
OtherComprehensiveIncomeLossNetOfTax: -262000000
OtherComprehensiveIncomeLossNetOfTax: 501000000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax: -5000000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax: -8000000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax: -7000000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesTax: 0
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesTax: 0
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesTax: 0
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax: -7000000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax: 9000000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax: -39000000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax: -5000000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax: -12000000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax: 5000000
OtherCostAndExpenseOperating: 171000000
OtherCostAndExpenseOperating: 167000000
OtherCostAndExpenseOperating: 214000000
OtherLiabilitiesAndDeferredRevenueNoncurrent: 2587000000
OtherLiabilitiesAndDeferredRevenueNoncurrent: 4448000000
OtherLiabilitiesNoncurrent: 12607000000
OtherLiabilitiesNoncurrent: 20975000000
OtherNoncashIncomeExpense: -250000000
OtherNoncashIncomeExpense: 20000000
OtherNoncashIncomeExpense: 292000000
OtherNonoperatingIncomeExpense: -256000000
OtherNonoperatingIncomeExpense: 90000000
OtherNonoperatingIncomeExpense: 346000000
OtherOperatingActivitiesCashFlowStatement: 155000000
OtherOperatingActivitiesCashFlowStatement: 160000000
OtherOperatingActivitiesCashFlowStatement: 202000000
PaymentsForProceedsFromProductiveAssets: 5387000000
PaymentsForProceedsFromProductiveAssets: 7804000000
PaymentsForProceedsFromProductiveAssets: 11955000000
PaymentsToAcquireMarketableSecurities: 4091000000
PaymentsToAcquireMarketableSecurities: 7756000000
PaymentsToAcquireMarketableSecurities: 13777000000
PreferredStockValue: 0
PreferredStockValue: 0
ProceedsFromIssuanceOfLongTermDebt: 353000000
ProceedsFromIssuanceOfLongTermDebt: 621000000
ProceedsFromIssuanceOfLongTermDebt: 16231000000
ProceedsFromSaleAndMaturityOfMarketableSecurities: 3025000000
ProceedsFromSaleAndMaturityOfMarketableSecurities: 4733000000
ProceedsFromSaleAndMaturityOfMarketableSecurities: 9988000000
PropertyPlantAndEquipmentAdditions: 9625000000
PropertyPlantAndEquipmentAdditions: 13585000000
PropertyPlantAndEquipmentAdditions: 29783000000
PropertyPlantAndEquipmentGross: 42441000000
PropertyPlantAndEquipmentGross: 68573000000
PropertyPlantAndEquipmentNet: 21838000000
PropertyPlantAndEquipmentNet: 29114000000
PropertyPlantAndEquipmentNet: 48866000000
ProvisionForDoubtfulAccounts: 289000000
ProvisionForDoubtfulAccounts: 451000000
ProvisionForDoubtfulAccounts: 626000000
RepaymentsOfDebt: 1652000000
RepaymentsOfDebt: 354000000
RepaymentsOfDebt: 1372000000
RepaymentsOfLongTermCapitalLeaseObligations: 2462000000
RepaymentsOfLongTermCapitalLeaseObligations: 3860000000
RepaymentsOfLongTermCapitalLeaseObligations: 4799000000
RetainedEarningsAccumulatedDeficit: 4916000000
RetainedEarningsAccumulatedDeficit: 8636000000
SalesRevenueGoodsNet: 79268000000
SalesRevenueGoodsNet: 94665000000
SalesRevenueGoodsNet: 118573000000
SalesRevenueNet: 107006000000
SalesRevenueNet: 29128000000
SalesRevenueNet: 30404000000
SalesRevenueNet: 32714000000
SalesRevenueNet: 135987000000
SalesRevenueNet: 43741000000
SalesRevenueNet: 35714000000
SalesRevenueNet: 37955000000
SalesRevenueNet: 43744000000
SalesRevenueNet: 177866000000
SalesRevenueNet: 60453000000
SalesRevenueServicesNet: 27738000000
SalesRevenueServicesNet: 41322000000
SalesRevenueServicesNet: 59293000000
ShareBasedCompensation: 2119000000
ShareBasedCompensation: 2975000000
ShareBasedCompensation: 4215000000
StockholdersEquity: 10741000000
StockholdersEquity: 13384000000
